1,Allen,Jones,Flat 1 Lady Lane,Anson,LS28 4TF,07702234546,allen.jones@fake.com,Cat1
2,Bob,Thomas,Flat 2 Lady Lane,Auburn,LS14 7QW,07702234547,bob.thomas@fake.com,Dog1
3,Colin,Brown,Flat 3 Lady Lane,Augusta,LS13 1ST,07702234548,colin.brown@fake.com,Horse1
4,Dave,Bloggs,Flat 4 Lady Lane,Bangor,LS12 4RE,07702234549,dave.bloggs@fake.com,Rabbit1
5,Ethan,Saunders,Flat 5 Lady Lane,Bar Harbor,LS28 5FU,07702234550,ethan.saunders@fake.com,Mouse1
6,Fred,Johnson,Flat 6 Lady Lane,Bath,LS1 4TP,07702234551,fred.johnson@fake.com,Kangaroo1
7,Gary,Akroyd,Flat 7 Lady Lane,Berwick,LS2 8TY,07702234552,gary.akroyd@fake.com,Bat1
8,Harry,Stitt,Flat 8 Lady Lane,Biddeford,LS2 5RW,07702234553,harry.stitt@fake.com,Koala1
9,Ian,Robinson,Flat 9 Lady Lane,Bingham,LS13 6TF,07702234554,ian.robinson@fake.com,Monkey1
10,John,Fuller,Flat 10 Lady Lane,Boothbay Harbor,LS14 7ZX,07702234555,john.fuller@fake.com,Tardigrade1
11,Keiran,Bond,Flat 11 Lady Lane,Brewer,LS14 3XC,07702234556,keiran.bond@fake.com,Zebra1
12,Lucas,Cresswell,Flat 12 Lady Lane,Bridgton,LS1 7TU,07702234557,lucas.cresswell@fake.com,Goat1
13,Matthew,Moore,Flat 13 Lady Lane,Brunswick,LS2 7FD,07702234558,matthew.moore@fake.com,Baboon1
14,Norris,Townsend,Flat 14 Lady Lane,Brunswick Station,LS1 5DD,07702234559,norris.townsend@fake.com,Catfish1
15,Orson,Ryan,Flat 15 Lady Lane,Bucksport,LS4 3PO,07702234560,ryan.orson@fake.com,Penguin1
